"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"10/21/2024 07:00:00 AM","subway","283","Greenpoint Av (G)","Brooklyn","metrocard","Metrocard - Fair Fare","10","1","40.731354","-73.95445","POINT (-73.95445 40.731354)"
"10/21/2024 07:00:00 AM","subway","113","Knickerbocker Av (M)","Brooklyn","metrocard","Metrocard - Seniors & Disability","3","0","40.698666","-73.91971","POINT (-73.91971 40.698666)"
"10/21/2024 07:00:00 AM","subway","208","Beach 25 St (A)","Queens","omny","OMNY - Students","61","0","40.600067","-73.76135","POINT (-73.76135 40.600067)"
"10/21/2024 07:00:00 AM","subway","207","Beach 36 St (A)","Queens","omny","OMNY - Students","43","0","40.595398","-73.76817","POINT (-73.76817 40.595398)"
"10/21/2024 07:00:00 AM","subway","145","190 St (A)","Manhattan","metrocard","Metrocard - Other","26","0","40.85902","-73.93418","POINT (-73.93418 40.85902)"
"10/21/2024 07:00:00 AM","subway","323","Christopher St-Sheridan Sq (1)","Manhattan","metrocard","Metrocard - Other","5","0","40.73342","-74.00291","POINT (-74.00291 40.73342)"
"10/21/2024 07:00:00 AM","subway","1","Astoria-Ditmars Blvd (N,W)","Queens","metrocard","Metrocard - Unlimited 7-Day","43","0","40.775036","-73.91203","POINT (-73.91203 40.775036)"
"10/21/2024 07:00:00 AM","subway","126","Jefferson St (L)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","34","0","40.706608","-73.92291","POINT (-73.92291 40.706608)"
"10/21/2024 07:00:00 AM","subway","312","79 St (1)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","37","0","40.783936","-73.97992","POINT (-73.97992 40.783936)"
"10/21/2024 07:00:00 AM","subway","382","Fordham Rd (4)","Bronx","omny","OMNY - Full Fare","195","14","40.862804","-73.90103","POINT (-73.90103 40.862804)"
"10/21/2024 07:00:00 AM","subway","448","Mets-Willets Point (7)","Queens","metrocard","Metrocard - Seniors & Disability","3","1","40.754623","-73.84563","POINT (-73.84563 40.754623)"
"10/21/2024 07:00:00 AM","subway","232","2 Av (F)","Manhattan","metrocard","Metrocard - Full Fare","37","2","40.7234","-73.98994","POINT (-73.98994 40.7234)"
"10/21/2024 07:00:00 AM","subway","99","Lorimer St (M,J)","Brooklyn","metrocard","Metrocard - Fair Fare","13","0","40.70387","-73.94741","POINT (-73.94741 40.70387)"
"10/21/2024 07:00:00 AM","subway","45","Beverley Rd (Q)","Brooklyn","metrocard","Metrocard - Full Fare","58","0","40.64403","-73.96449","POINT (-73.96449 40.64403)"
"10/21/2024 07:00:00 AM","subway","168","Spring St (C,E)","Manhattan","metrocard","Metrocard - Seniors & Disability","4","0","40.726227","-74.00374","POINT (-74.00374 40.726227)"
"10/21/2024 07:00:00 AM","subway","296","Marble Hill-225 St (1)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","46","0","40.87456","-73.90983","POINT (-73.90983 40.87456)"
"10/21/2024 07:00:00 AM","subway","28","Union St (R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","10","0","40.677315","-73.98311","POINT (-73.98311 40.677315)"
"10/21/2024 07:00:00 AM","subway","398","77 St (6)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","31","0","40.77362","-73.95988","POINT (-73.95988 40.77362)"
"10/21/2024 07:00:00 AM","subway","243","Church Av (F,G)","Brooklyn","metrocard","Metrocard - Seniors & Disability","31","4","40.64404","-73.979675","POINT (-73.979675 40.64404)"
"10/21/2024 07:00:00 AM","subway","55","Brighton Beach (B,Q)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","107","0","40.57762","-73.96137","POINT (-73.96137 40.57762)"
"10/21/2024 07:00:00 AM","subway","204","Beach 67 St (A)","Queens","metrocard","Metrocard - Fair Fare","16","0","40.590927","-73.79692","POINT (-73.79692 40.590927)"
"10/21/2024 07:00:00 AM","subway","423","Allerton Av (2,5)","Bronx","omny","OMNY - Seniors & Disability","1","0","40.865463","-73.867355","POINT (-73.867355 40.865463)"
"10/21/2024 07:00:00 AM","subway","124","Montrose Av (L)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","15","0","40.70774","-73.93985","POINT (-73.93985 40.70774)"
"10/21/2024 07:00:00 AM","subway","222","Roosevelt Island (F)","Manhattan","omny","OMNY - Students","212","5","40.759144","-73.95326","POINT (-73.95326 40.759144)"
"10/21/2024 07:00:00 AM","subway","615","New Utrecht Av (N)/62 St (D)","Brooklyn","metrocard","Metrocard - Full Fare","78","0","40.626472","-73.99635","POINT (-73.99635 40.626472)"
"10/21/2024 07:00:00 AM","subway","459","40 St-Lowery St (7)","Queens","metrocard","Metrocard - Unlimited 7-Day","60","0","40.743782","-73.92402","POINT (-73.92402 40.743782)"
"10/21/2024 07:00:00 AM","subway","201","Beach 98 St (A,S)","Queens","metrocard","Metrocard - Seniors & Disability","2","0","40.585308","-73.82056","POINT (-73.82056 40.585308)"
"10/21/2024 07:00:00 AM","subway","136","New Lots Av (L)","Brooklyn","omny","OMNY - Full Fare","102","14","40.658733","-73.89923","POINT (-73.89923 40.658733)"
"10/21/2024 07:00:00 AM","subway","262","67 Av (M,R)","Queens","metrocard","Metrocard - Seniors & Disability","49","0","40.726524","-73.85272","POINT (-73.85272 40.726524)"
"10/21/2024 07:00:00 AM","subway","187","Shepherd Av (C)","Brooklyn","omny","OMNY - Full Fare","90","1","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"10/21/2024 07:00:00 AM","subway","438","135 St (2,3)","Manhattan","metrocard","Metrocard - Full Fare","59","3","40.814228","-73.94077","POINT (-73.94077 40.814228)"
"10/21/2024 07:00:00 AM","subway","624","Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","Manhattan","omny","OMNY - Full Fare","867","78","40.71411","-74.00858","POINT (-74.00858 40.71411)"
"10/21/2024 07:00:00 AM","subway","376","Brook Av (6)","Bronx","metrocard","Metrocard - Fair Fare","29","0","40.807568","-73.91924","POINT (-73.91924 40.807568)"
"10/21/2024 07:00:00 AM","subway","119","1 Av (L)","Manhattan","metrocard","Metrocard - Other","28","0","40.730953","-73.98163","POINT (-73.98163 40.730953)"
