stop_id,stop_name,routes_at_stop
M20,Canal St,"J,Z"
M21,Chambers St,"J,Z"
M22,Fulton St,"J,Z"
M23,Broad St,"J,Z"
N02,8 Av,"N,W"
N03,Fort Hamilton Pkwy,"N,W"
N04,New Utrecht Av,"N,W"
N05,18 Av,"N,W"
N06,20 Av,"N,W"
N07,Bay Pkwy,"N,W"
N08,Kings Hwy,"N,W"
N09,Avenue U,"N,W"
N10,86 St,"N,W"
Q01,Canal St,"N,Q"
Q03,72 St,"N,Q,R"
Q04,86 St,"N,Q,R"
Q05,96 St,"N,Q,R"
R01,Astoria-Ditmars Blvd,"N,W"
R03,Astoria Blvd,"N,W"
R04,30 Av,"N,W"
R05,Broadway,"N,W"
R06,36 Av,"N,W"
R08,39 Av-Dutch Kills,"N,W"
R09,Queensboro Plaza,"N,W"
R11,Lexington Av/59 St,"N,R,W"
R13,5 Av/59 St,"N,R,W"
R14,57 St-7 Av,"N,Q,R,W"
R15,49 St,"N,Q,R,W"
R16,Times Sq-42 St,"N,Q,R,W"
R17,34 St-Herald Sq,"N,Q,R,W"
R18,28 St,"N,Q,R,W"
R19,23 St,"N,Q,R,W"
R20,14 St-Union Sq,"N,Q,R,W"
R21,8 St-NYU,"N,Q,R,W"
R22,Prince St,"N,Q,R,W"
R23,Canal St,"N,R,W"
R24,City Hall,"N,R,W"
R25,Cortlandt St,"N,R,W"
R26,Rector St,"N,R,W"
R27,Whitehall St-South Ferry,"N,R,W"
R28,Court St,"N,R,W"
R29,Jay St-MetroTech,"N,R,W"
R30,DeKalb Av,"B,D,N,Q,R,W"
R31,Atlantic Av-Barclays Ctr,"D,N,R,W"
R32,Union St,"D,N,R,W"
R33,4 Av-9 St,"D,N,R,W"
R34,Prospect Av,"D,N,R,W"
R35,25 St,"D,N,R,W"
R36,36 St,"D,N,R,W"
R39,45 St,"N,R,W"
R40,53 St,"N,R,W"
R41,59 St,"N,R,W"
R42,Bay Ridge Av,R
R43,77 St,R
R44,86 St,R
R45,Bay Ridge-95 St,R
S01,Franklin Av,S
S03,Park Pl,S
S04,Botanic Garden,S
